Training with only sequence
Train Epoch: 141 [100%] || Time: 0 min 3 || Loss: 3.226 || Reg: 0.000 || Acc: 0.798
Train Epoch: 142 [100%] || Time: 0 min 3 || Loss: 3.226 || Reg: 0.000 || Acc: 0.798
Train Epoch: 143 [100%] || Time: 0 min 3 || Loss: 3.226 || Reg: 0.000 || Acc: 0.799
Train Epoch: 144 [100%] || Time: 0 min 3 || Loss: 3.226 || Reg: 0.000 || Acc: 0.800
Train Epoch: 145 [100%] || Time: 0 min 3 || Loss: 3.226 || Reg: 0.000 || Acc: 0.800
Train Epoch: 146 [100%] || Time: 0 min 3 || Loss: 3.226 || Reg: 0.000 || Acc: 0.801
Train Epoch: 147 [100%] || Time: 0 min 3 || Loss: 3.226 || Reg: 0.000 || Acc: 0.800
Train Epoch: 148 [100%] || Time: 0 min 3 || Loss: 3.226 || Reg: 0.000 || Acc: 0.802
Train Epoch: 149 [100%] || Time: 0 min 3 || Loss: 3.226 || Reg: 0.000 || Acc: 0.802
Train Epoch: 150 [100%] || Time: 0 min 3 || Loss: 3.226 || Reg: 0.000 || Acc: 0.803
Train Epoch: 150 [100%] || Time: 0 min 3 || Loss: 3.226 || Reg: 0.000 || Acc: 0.803
Val Epoch: 150 [100%] || Time: 0 min 0 || Loss: 7.796 || Reg: 0.000 || Acc: 0.794
Train Epoch: 151 [100%] || Time: 0 min 3 || Loss: 3.226 || Reg: 0.000 || Acc: 0.803
Train Epoch: 152 [100%] || Time: 0 min 3 || Loss: 3.226 || Reg: 0.000 || Acc: 0.803
Train Epoch: 153 [100%] || Time: 0 min 3 || Loss: 3.226 || Reg: 0.000 || Acc: 0.804
Train Epoch: 154 [100%] || Time: 0 min 3 || Loss: 3.226 || Reg: 0.000 || Acc: 0.804
Train Epoch: 155 [100%] || Time: 0 min 3 || Loss: 3.226 || Reg: 0.000 || Acc: 0.805
Train Epoch: 156 [100%] || Time: 0 min 3 || Loss: 3.226 || Reg: 0.000 || Acc: 0.805
Train Epoch: 157 [100%] || Time: 0 min 3 || Loss: 3.226 || Reg: 0.000 || Acc: 0.806
Train Epoch: 158 [100%] || Time: 0 min 3 || Loss: 3.226 || Reg: 0.000 || Acc: 0.807
Train Epoch: 159 [100%] || Time: 0 min 3 || Loss: 3.226 || Reg: 0.000 || Acc: 0.806
Train Epoch: 160 [100%] || Time: 0 min 3 || Loss: 3.226 || Reg: 0.000 || Acc: 0.807
Train Epoch: 161 [100%] || Time: 0 min 3 || Loss: 3.226 || Reg: 0.000 || Acc: 0.808
Train Epoch: 162 [100%] || Time: 0 min 3 || Loss: 3.226 || Reg: 0.000 || Acc: 0.809
Train Epoch: 163 [100%] || Time: 0 min 3 || Loss: 3.226 || Reg: 0.000 || Acc: 0.809
Train Epoch: 164 [100%] || Time: 0 min 3 || Loss: 3.226 || Reg: 0.000 || Acc: 0.810
Train Epoch: 165 [100%] || Time: 0 min 3 || Loss: 3.226 || Reg: 0.000 || Acc: 0.810
Train Epoch: 166 [100%] || Time: 0 min 3 || Loss: 3.226 || Reg: 0.000 || Acc: 0.809
Train Epoch: 167 [100%] || Time: 0 min 3 || Loss: 3.226 || Reg: 0.000 || Acc: 0.811
Train Epoch: 168 [100%] || Time: 0 min 3 || Loss: 3.226 || Reg: 0.000 || Acc: 0.811
Train Epoch: 169 [100%] || Time: 0 min 3 || Loss: 3.226 || Reg: 0.000 || Acc: 0.811
Train Epoch: 170 [100%] || Time: 0 min 3 || Loss: 3.226 || Reg: 0.000 || Acc: 0.812
Train Epoch: 171 [100%] || Time: 0 min 3 || Loss: 3.226 || Reg: 0.000 || Acc: 0.812
Train Epoch: 172 [100%] || Time: 0 min 3 || Loss: 3.226 || Reg: 0.000 || Acc: 0.812
Train Epoch: 173 [100%] || Time: 0 min 3 || Loss: 3.226 || Reg: 0.000 || Acc: 0.812
Train Epoch: 174 [100%] || Time: 0 min 3 || Loss: 3.226 || Reg: 0.000 || Acc: 0.813
Train Epoch: 175 [100%] || Time: 0 min 3 || Loss: 3.226 || Reg: 0.000 || Acc: 0.814
Train Epoch: 176 [100%] || Time: 0 min 3 || Loss: 3.226 || Reg: 0.000 || Acc: 0.814
Train Epoch: 177 [100%] || Time: 0 min 3 || Loss: 3.226 || Reg: 0.000 || Acc: 0.814
Train Epoch: 178 [100%] || Time: 0 min 3 || Loss: 3.226 || Reg: 0.000 || Acc: 0.815
Train Epoch: 179 [100%] || Time: 0 min 3 || Loss: 3.226 || Reg: 0.000 || Acc: 0.815
Train Epoch: 180 [100%] || Time: 0 min 3 || Loss: 3.226 || Reg: 0.000 || Acc: 0.817
Train Epoch: 180 [100%] || Time: 0 min 3 || Loss: 3.226 || Reg: 0.000 || Acc: 0.817
Val Epoch: 180 [100%] || Time: 0 min 0 || Loss: 8.128 || Reg: 0.000 || Acc: 0.807
Train Epoch: 181 [100%] || Time: 0 min 3 || Loss: 3.226 || Reg: 0.000 || Acc: 0.816
Train Epoch: 182 [100%] || Time: 0 min 3 || Loss: 3.226 || Reg: 0.000 || Acc: 0.816
Train Epoch: 183 [100%] || Time: 0 min 3 || Loss: 3.226 || Reg: 0.000 || Acc: 0.817
Train Epoch: 184 [100%] || Time: 0 min 3 || Loss: 3.226 || Reg: 0.000 || Acc: 0.817
Train Epoch: 185 [100%] || Time: 0 min 3 || Loss: 3.226 || Reg: 0.000 || Acc: 0.818
Train Epoch: 186 [100%] || Time: 0 min 3 || Loss: 3.226 || Reg: 0.000 || Acc: 0.818
Train Epoch: 187 [100%] || Time: 0 min 3 || Loss: 3.226 || Reg: 0.000 || Acc: 0.819
Train Epoch: 188 [100%] || Time: 0 min 3 || Loss: 3.226 || Reg: 0.000 || Acc: 0.819
Train Epoch: 189 [100%] || Time: 0 min 3 || Loss: 3.226 || Reg: 0.000 || Acc: 0.820
Train Epoch: 190 [100%] || Time: 0 min 3 || Loss: 3.226 || Reg: 0.000 || Acc: 0.818
Train Epoch: 191 [100%] || Time: 0 min 3 || Loss: 3.226 || Reg: 0.000 || Acc: 0.820
Train Epoch: 192 [100%] || Time: 0 min 3 || Loss: 3.226 || Reg: 0.000 || Acc: 0.821
Train Epoch: 193 [100%] || Time: 0 min 3 || Loss: 3.226 || Reg: 0.000 || Acc: 0.820
Train Epoch: 194 [100%] || Time: 0 min 3 || Loss: 3.226 || Reg: 0.000 || Acc: 0.821
Train Epoch: 195 [100%] || Time: 0 min 3 || Loss: 3.226 || Reg: 0.000 || Acc: 0.822
Train Epoch: 196 [100%] || Time: 0 min 3 || Loss: 3.226 || Reg: 0.000 || Acc: 0.822
Train Epoch: 197 [100%] || Time: 0 min 3 || Loss: 3.226 || Reg: 0.000 || Acc: 0.822
Train Epoch: 198 [100%] || Time: 0 min 3 || Loss: 3.226 || Reg: 0.000 || Acc: 0.823
Train Epoch: 199 [100%] || Time: 0 min 3 || Loss: 3.226 || Reg: 0.000 || Acc: 0.823
Train Epoch: 200 [100%] || Time: 0 min 3 || Loss: 3.226 || Reg: 0.000 || Acc: 0.823
Train Epoch: 201 [100%] || Time: 0 min 3 || Loss: 3.226 || Reg: 0.000 || Acc: 0.823
Train Epoch: 202 [100%] || Time: 0 min 3 || Loss: 3.226 || Reg: 0.000 || Acc: 0.824
Train Epoch: 203 [100%] || Time: 0 min 3 || Loss: 3.226 || Reg: 0.000 || Acc: 0.825
Train Epoch: 204 [100%] || Time: 0 min 3 || Loss: 3.226 || Reg: 0.000 || Acc: 0.825
Train Epoch: 205 [100%] || Time: 0 min 3 || Loss: 3.226 || Reg: 0.000 || Acc: 0.824
Train Epoch: 206 [100%] || Time: 0 min 3 || Loss: 3.226 || Reg: 0.000 || Acc: 0.825
Train Epoch: 207 [100%] || Time: 0 min 3 || Loss: 3.226 || Reg: 0.000 || Acc: 0.825
Train Epoch: 208 [100%] || Time: 0 min 3 || Loss: 3.226 || Reg: 0.000 || Acc: 0.826
Train Epoch: 209 [100%] || Time: 0 min 3 || Loss: 3.226 || Reg: 0.000 || Acc: 0.827
Train Epoch: 210 [100%] || Time: 0 min 3 || Loss: 3.226 || Reg: 0.000 || Acc: 0.827
Train Epoch: 210 [100%] || Time: 0 min 3 || Loss: 3.226 || Reg: 0.000 || Acc: 0.827
Val Epoch: 210 [100%] || Time: 0 min 0 || Loss: 8.423 || Reg: 0.000 || Acc: 0.817
Train Epoch: 211 [100%] || Time: 0 min 3 || Loss: 3.226 || Reg: 0.000 || Acc: 0.827
Train Epoch: 212 [100%] || Time: 0 min 3 || Loss: 3.226 || Reg: 0.000 || Acc: 0.827
Train Epoch: 213 [100%] || Time: 0 min 3 || Loss: 3.226 || Reg: 0.000 || Acc: 0.828
Train Epoch: 214 [100%] || Time: 0 min 3 || Loss: 3.226 || Reg: 0.000 || Acc: 0.828
Train Epoch: 215 [100%] || Time: 0 min 3 || Loss: 3.226 || Reg: 0.000 || Acc: 0.829
Train Epoch: 216 [100%] || Time: 0 min 3 || Loss: 3.226 || Reg: 0.000 || Acc: 0.828
Train Epoch: 217 [100%] || Time: 0 min 3 || Loss: 3.226 || Reg: 0.000 || Acc: 0.829
Train Epoch: 218 [100%] || Time: 0 min 3 || Loss: 3.226 || Reg: 0.000 || Acc: 0.829
